team,sketch_title,writer,link,upload_date
212,Acting Teacher,Kassia Miller,https://www.youtube.com/watch?v=VyeAj3jHI70,20140925
212,AMERICA'S NEXT TOP WOODEN BOX MAKER,Erik Tanouye,https://www.youtube.com/watch?v=zaEZ73WqKRI,20131209
212,Bad Boys High School,Ryan Hunter,https://www.youtube.com/watch?v=uWqsXF-d5kU,20150327
212,Basketball,Kassia Miller,https://www.youtube.com/watch?v=xc7mwQCovaI,20150103
212,Bear Trap,David Guzman,https://www.youtube.com/watch?v=erUnzyxx8ww,20150724
212,Ben Franklin Laundry Day,Gwynna Forgha,https://www.youtube.com/watch?v=ER27zFkjsc0,20150724
212,Boogie Board Iraq,Georgie Aldaco,https://www.youtube.com/watch?v=SbzQqABOPmo,20150630
212,Bull in a China Shop 2,Jo Firestone,https://www.youtube.com/watch?v=-dnGyE57o7Q,20140614
212,Bull in a China Shop,Jo Firestone,https://www.youtube.com/watch?v=AZGVc6iM3eY,20140614
212,CABLE GUY AND SEX AND THE CITY,Achilles Stamatelaky,https://www.youtube.com/watch?v=5NWmO_SzY-o,20140828
212,Can I Smell Your Hair?,Achilles Stamatelaky,https://www.youtube.com/watch?v=sWWcAVhTYVY,20131005
212,Castro Announcement,David Guzman,https://www.youtube.com/watch?v=L_nwSSgT6gU,20151001
212,Chip Briefcase,Georgie Aldaco,https://www.youtube.com/watch?v=YBM34dRPDKk,20150302
212,Clickbait Writer,no writer,https://www.youtube.com/watch?v=IOa4ozbGmgs,20131126
212,Closed Dog Park,David Guzman,https://www.youtube.com/watch?v=ZCba2Bfsj2Y,20150630
212,Cocktail Party,Kassia Miller,https://www.youtube.com/watch?v=yjhEk3nX3F4,20140128
212,Cody Misses Wine,Erik Tanouye,https://www.youtube.com/watch?v=PZp9K1vHQ5E,20140521
212,Colonial Tavern Tour,Kassia Miller,https://www.youtube.com/watch?v=IsoKJ583E7M,20140128
212,Come Up to the Lodge,no writer,https://www.youtube.com/watch?v=kYbUIpAzNR4,20131112
212,Commercial People,by Ari Scott,https://www.youtube.com/watch?v=EDorVe2KCTk,20140315
212,Congresswoman Stuffs Bra,Kassia Miller,https://www.youtube.com/watch?v=xQ9E07dD3Qk,20140521
212,Cool Mom Judge,Ari Scott,https://www.youtube.com/watch?v=k-FJVN9SRcg,20131004
212,Cory Rose,Jo Firestone,https://www.youtube.com/watch?v=FY7eqNua1bI,20141104
212,Creepy Doll,Achilles Stamatelaky,https://www.youtube.com/watch?v=IYOwT5YO0Sc,20150327
212,Definition of Insanity,Kassia Miller,https://www.youtube.com/watch?v=2OMot689T2w,20140925
212,Dirt Dawg (runner),Erik Tanouye,https://www.youtube.com/watch?v=766idhqygas,20140315
212,Dolphin Woman - Best Of (212),Jess Kane,https://www.youtube.com/watch?v=ABSrvmfYE9M,20151125
212,Dolphin Woman,Jessica Kane,https://www.youtube.com/watch?v=ZZDhVYsBC34,20150630
212,DOUCHEBAG QUESTIONNAIRE,Achilles Stamatelaky,https://www.youtube.com/watch?v=8J7yIwZiiN8,20140219
212,Dr  Love,Ari Scott,https://www.youtube.com/watch?v=eknsncFx0Gg,20140128
212,Easter Egg Birth,Tim Martin,https://www.youtube.com/watch?v=-YsmTZlCU_I,20140415
212,Eddie Dunn's Scary Stories 1,no writer,https://www.youtube.com/watch?v=rhiWh5RElDA,20131112
212,Eddie Dunn's Scary Stories 2,no writer,https://www.youtube.com/watch?v=smJkygfPjVw,20131114
212,Eddie Dunn's Scary Stories 3,Erik Tanouye,https://www.youtube.com/watch?v=5LAjyJVbjzg,20131114
212,Eddie Plays Charlotte - Best Of (212),Patrick Clair,https://www.youtube.com/watch?v=c_MRlvh-4OQ,20151125
212,Eddie’s Thoughts,David Guzman,https://www.youtube.com/watch?v=1zfinaZZEZ8,20150103
212,ELLA FITZGERALD,Erik Tanouye,https://www.youtube.com/watch?v=LWNeg46K7YU,20140220
212,ERIC STOLTZ IS STILL PISSED OFF,Ari Scott,https://www.youtube.com/watch?v=fYTirkFLJ9U,20140521
212,Facebook Game Show,Ari Scott,https://www.youtube.com/watch?v=x04zYTzeas8,20140315
212,Feminist Bachelorette Party,Kassia Miller,https://www.youtube.com/watch?v=MgLVXtMGO-w,20140724
212,FLIRTY DRESS,Kassia Miller,https://www.youtube.com/watch?v=jCapFSx7fhQ,20131126
212,Free Hugs,Kerry McGuire,https://www.youtube.com/watch?v=zqYhuiTPAJ8,20140925
212,Fresh Air - Best Of (212),David Guz,https://www.youtube.com/watch?v=f6sAfxbjDGU,20151125
